episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-09-14T03:20:57.684,0.600000,0.200000,-2.000000,0,1,3.003,1,0.500000,0.499999
1,2025-09-14T03:21:00.976,0.599963,0.199993,-1.000000,0,1,3.222,2,0.500000,0.499998
2,2025-09-14T03:21:04.098,0.599927,0.199985,-1.500000,0,1,3.058,3,0.500000,0.499997
3,2025-09-14T03:21:07.256,0.599890,0.199978,-1.600000,0,1,3.076,4,0.500000,0.499995
4,2025-09-14T03:21:10.488,0.599853,0.199970,-2.000000,0,1,3.155,5,0.500000,0.499994
5,2025-09-14T03:21:13.507,0.599817,0.199963,-1.600000,0,1,2.949,6,0.500000,0.499993
6,2025-09-14T03:21:16.857,0.599780,0.199955,-1.600000,0,1,3.167,7,0.500000,0.499992
7,2025-09-14T03:21:20.012,0.599743,0.199948,-1.600000,0,1,3.087,8,0.500000,0.499991
8,2025-09-14T03:21:23.281,0.599707,0.199940,-1.600000,0,1,3.193,9,0.500000,0.499989
9,2025-09-14T03:21:26.441,0.599670,0.199933,-2.000000,0,1,3.073,10,0.500000,0.499988
10,2025-09-14T03:21:29.540,0.599633,0.199925,-2.000000,0,1,3.025,11,0.500000,0.499987
11,2025-09-14T03:21:32.490,0.599597,0.199917,-1.600000,0,1,2.876,12,0.500000,0.499985
12,2025-09-14T03:21:35.697,0.599560,0.199910,-2.000000,0,1,3.122,13,0.500000,0.499984
13,2025-09-14T03:21:38.889,0.599523,0.199903,-1.600000,0,1,3.117,14,0.500000,0.499983
14,2025-09-14T03:21:42.075,0.599487,0.199895,-2.000000,0,1,3.114,15,0.500000,0.499982
15,2025-09-14T03:21:45.321,0.599450,0.199888,-1.600000,0,1,3.178,16,0.500000,0.499980
16,2025-09-14T03:21:48.528,0.599413,0.199880,-1.600000,0,1,3.111,17,0.500000,0.499979
17,2025-09-14T03:21:51.772,0.599377,0.199873,-1.600000,0,1,3.180,18,0.500000,0.499978
18,2025-09-14T03:21:54.923,0.599340,0.199865,-1.600000,0,1,3.086,19,0.500000,0.499977
19,2025-09-14T03:21:58.017,0.599303,0.199858,-1.600000,0,1,3.033,20,0.500000,0.499976
20,2025-09-14T03:22:01.049,0.599267,0.199850,-1.600000,0,1,2.972,21,0.500000,0.499975
21,2025-09-14T03:22:04.162,0.599230,0.199843,-1.600000,0,1,3.042,22,0.500000,0.499973
22,2025-09-14T03:22:07.541,0.599193,0.199835,-2.000000,0,1,3.296,23,0.500000,0.499972
23,2025-09-14T03:22:10.773,0.599157,0.199828,-1.600000,0,1,3.156,24,0.500000,0.499971
24,2025-09-14T03:22:13.971,0.599120,0.199820,-1.500000,0,1,3.128,25,0.500000,0.499970
25,2025-09-14T03:22:17.191,0.599083,0.199813,-1.600000,0,1,3.131,26,0.500000,0.499969
26,2025-09-14T03:22:20.321,0.599047,0.199805,-2.000000,0,1,3.031,26,0.500000,0.499967
27,2025-09-14T03:22:23.489,0.599010,0.199798,-1.600000,0,1,3.080,27,0.500000,0.499966
28,2025-09-14T03:22:26.704,0.598973,0.199790,-2.000000,0,1,3.146,28,0.500000,0.499965
29,2025-09-14T03:22:29.974,0.598937,0.199783,-1.600000,0,1,3.185,29,0.500000,0.499964
30,2025-09-14T03:22:33.147,0.598900,0.199775,-1.500000,0,1,3.075,30,0.500000,0.499963
31,2025-09-14T03:22:36.544,0.598863,0.199768,-1.600000,0,1,3.299,31,0.500000,0.499961
32,2025-09-14T03:22:39.644,0.598827,0.199760,-1.600000,0,1,2.996,32,0.500000,0.499960
33,2025-09-14T03:22:42.744,0.598790,0.199752,-2.000000,0,1,3.039,33,0.500000,0.499959
34,2025-09-14T03:22:45.918,0.598753,0.199745,-1.600000,0,1,3.107,34,0.500000,0.499958
35,2025-09-14T03:22:49.171,0.598717,0.199738,-1.000000,0,1,3.167,35,0.500000,0.499957
36,2025-09-14T03:22:52.274,0.598680,0.199730,-1.600000,0,1,3.031,36,0.500000,0.499956
37,2025-09-14T03:22:55.422,0.598643,0.199722,-1.600000,0,1,3.063,37,0.500000,0.499955
38,2025-09-14T03:22:58.531,0.598607,0.199715,-1.600000,0,1,3.027,38,0.500000,0.499953
39,2025-09-14T03:23:01.764,0.598570,0.199708,-2.000000,0,1,3.152,39,0.500000,0.499952
40,2025-09-14T03:23:04.945,0.598533,0.199700,-2.000000,0,1,3.119,40,0.500000,0.499951
41,2025-09-14T03:23:07.886,0.598497,0.199693,-1.600000,0,1,2.879,41,0.500000,0.499949
42,2025-09-14T03:23:11.221,0.598460,0.199685,-1.600000,0,1,3.271,42,0.500000,0.499948
43,2025-09-14T03:23:14.409,0.598423,0.199678,-1.600000,0,1,3.114,43,0.500000,0.499947
44,2025-09-14T03:23:17.776,0.598387,0.199670,-1.600000,0,1,3.295,44,0.500000,0.499946
45,2025-09-14T03:23:20.792,0.598350,0.199663,-1.600000,0,1,2.945,45,0.500000,0.499945
46,2025-09-14T03:23:24.025,0.598313,0.199655,-1.600000,0,1,3.155,45,0.500000,0.499944
47,2025-09-14T03:23:27.208,0.598277,0.199648,-2.000000,0,1,3.080,46,0.500000,0.499942
48,2025-09-14T03:23:30.440,0.598240,0.199640,-2.000000,0,1,3.156,47,0.500000,0.499941
49,2025-09-14T03:23:33.616,0.598203,0.199633,-1.600000,0,1,3.093,48,0.500000,0.499940
50,2025-09-14T03:23:36.759,0.598167,0.199625,-1.600000,0,1,3.073,49,0.500000,0.499939
51,2025-09-14T03:23:39.906,0.598130,0.199618,-2.000000,0,1,3.064,50,0.500000,0.499937
52,2025-09-14T03:23:43.149,0.598093,0.199610,-2.000000,0,1,3.159,51,0.500000,0.499936
53,2025-09-14T03:23:46.126,0.598057,0.199603,-2.000000,0,1,2.882,52,0.500000,0.499935
54,2025-09-14T03:23:49.311,0.598020,0.199595,-2.000000,0,1,3.113,53,0.500000,0.499933
55,2025-09-14T03:23:52.376,0.597983,0.199588,-2.000000,0,1,2.982,54,0.500000,0.499932
56,2025-09-14T03:23:55.551,0.597947,0.199580,-1.600000,0,1,3.112,55,0.500000,0.499931
57,2025-09-14T03:23:58.762,0.597910,0.199573,-1.600000,0,1,3.143,56,0.500000,0.499929
58,2025-09-14T03:24:01.956,0.597873,0.199565,-1.600000,0,1,3.132,57,0.500000,0.499928
59,2025-09-14T03:24:05.170,0.597837,0.199557,-2.000000,0,1,3.133,57,0.500000,0.499927
60,2025-09-14T03:24:08.147,0.597800,0.199550,-1.600000,0,1,2.902,58,0.500000,0.499926
61,2025-09-14T03:24:11.367,0.597763,0.199543,-2.000000,0,1,3.141,59,0.500000,0.499925
62,2025-09-14T03:24:14.469,0.597727,0.199535,-1.600000,0,1,3.029,60,0.500000,0.499923
63,2025-09-14T03:24:17.642,0.597690,0.199528,-1.600000,0,1,3.108,61,0.500000,0.499922
64,2025-09-14T03:24:20.787,0.597653,0.199520,-1.600000,0,1,3.082,62,0.500000,0.499921
65,2025-09-14T03:24:23.792,0.597617,0.199513,-2.000000,0,1,2.935,63,0.500000,0.499920
66,2025-09-14T03:24:26.935,0.597580,0.199505,-1.600000,0,1,3.076,64,0.500000,0.499919
67,2025-09-14T03:24:30.181,0.597543,0.199498,-1.600000,0,1,3.173,64,0.500000,0.499918
68,2025-09-14T03:24:33.422,0.597507,0.199490,-2.000000,0,1,3.172,65,0.500000,0.499916
69,2025-09-14T03:24:36.567,0.597470,0.199483,-1.600000,0,1,3.074,66,0.500000,0.499915
70,2025-09-14T03:24:39.753,0.597433,0.199475,-1.600000,0,1,3.113,66,0.500000,0.499914
