episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-09-13T16:49:14.770,0.600000,0.200000,-1.800000,0,1,3.217,1,0.500000,0.499999
1,2025-09-13T16:49:17.747,0.599963,0.199993,-1.600000,0,1,2.911,2,0.500000,0.499998
2,2025-09-13T16:49:20.774,0.599927,0.199985,-1.600000,0,1,2.954,3,0.500000,0.499996
3,2025-09-13T16:49:23.880,0.599890,0.199978,-2.000000,0,1,3.049,4,0.500000,0.499995
4,2025-09-13T16:49:26.981,0.599853,0.199970,-2.000000,0,1,3.025,5,0.500000,0.499994
5,2025-09-13T16:49:30.187,0.599817,0.199963,-1.600000,0,1,3.131,6,0.500000,0.499992
6,2025-09-13T16:49:33.405,0.599780,0.199955,-1.600000,0,1,3.156,7,0.500000,0.499991
7,2025-09-13T16:49:36.580,0.599743,0.199948,-1.600000,0,1,3.107,8,0.500000,0.499990
8,2025-09-13T16:49:39.655,0.599707,0.199940,-1.000000,0,1,3.009,9,0.500000,0.499989
9,2025-09-13T16:49:42.925,0.599670,0.199933,-1.600000,0,1,3.206,10,0.500000,0.499988
10,2025-09-13T16:49:45.967,0.599633,0.199925,-1.600000,0,1,2.973,11,0.500000,0.499987
11,2025-09-13T16:49:49.222,0.599597,0.199917,-1.600000,0,1,3.179,12,0.500000,0.499986
12,2025-09-13T16:49:52.324,0.599560,0.199910,-1.600000,0,1,3.041,13,0.500000,0.499985
13,2025-09-13T16:49:55.522,0.599523,0.199903,-1.600000,0,1,3.134,14,0.500000,0.499983
14,2025-09-13T16:49:58.666,0.599487,0.199895,-1.600000,0,1,3.082,15,0.500000,0.499982
15,2025-09-13T16:50:01.692,0.599450,0.199888,-2.000000,0,1,2.945,16,0.500000,0.499981
16,2025-09-13T16:50:04.824,0.599413,0.199880,-1.600000,0,1,3.063,17,0.500000,0.499980
17,2025-09-13T16:50:08.060,0.599377,0.199873,-2.000000,0,1,3.170,18,0.500000,0.499978
