episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-09-15T12:15:46.849,0.200000,0.500000,-1.000000,0,1,3.270,1,0.500000,0.499989
1,2025-09-15T12:15:50.031,0.199925,0.499850,-1.000000,0,1,3.166,2,0.500000,0.499979
2,2025-09-15T12:15:53.206,0.199850,0.499700,-6.000000,0,1,3.159,3,0.500000,0.499933
3,2025-09-15T12:15:56.795,0.199775,0.499550,-1.600000,0,1,3.571,4,0.500000,0.499919
4,2025-09-15T12:16:02.234,0.199700,0.499400,-6.000000,0,1,5.423,5,0.500000,0.499873
5,2025-09-15T12:16:07.561,0.199625,0.499250,-1.500000,0,1,5.297,6,0.500000,0.499859
6,2025-09-15T12:16:13.270,0.199550,0.499100,-6.000000,0,1,5.679,7,0.500000,0.499813
7,2025-09-15T12:16:17.866,0.199475,0.498950,-1.600000,0,1,4.566,8,0.500000,0.499799
8,2025-09-15T12:16:23.002,0.199400,0.498800,-6.000000,0,1,5.116,9,0.500000,0.499753
9,2025-09-15T12:16:28.611,0.199325,0.498650,-1.600000,0,1,5.582,10,0.500000,0.499738
10,2025-09-15T12:16:33.280,0.199250,0.498500,-6.000000,0,1,4.634,11,0.500000,0.499693
11,2025-09-15T12:16:38.232,0.199175,0.498350,-1.600000,0,1,4.924,12,0.500000,0.499678
12,2025-09-15T12:16:43.104,0.199100,0.498200,-1.600000,0,1,4.840,13,0.500000,0.499663
13,2025-09-15T12:16:47.734,0.199025,0.498050,-6.000000,0,1,4.600,14,0.500000,0.499618
14,2025-09-15T12:16:52.605,0.198950,0.497900,-1.600000,0,1,4.839,15,0.500000,0.499603
15,2025-09-15T12:16:57.771,0.198875,0.497750,-1.600000,0,1,5.134,16,0.500000,0.499589
16,2025-09-15T12:17:02.981,0.198800,0.497600,-6.000000,0,1,5.194,17,0.500000,0.499543
17,2025-09-15T12:17:08.062,0.198725,0.497450,-1.600000,0,1,5.063,18,0.500000,0.499528
18,2025-09-15T12:17:12.902,0.198650,0.497300,-6.000000,0,1,4.824,19,0.500000,0.499483
19,2025-09-15T12:17:17.516,0.198575,0.497150,-6.000000,0,1,4.581,20,0.500000,0.499438
20,2025-09-15T12:17:22.574,0.198500,0.497000,-1.600000,0,1,5.040,21,0.500000,0.499423
21,2025-09-15T12:17:27.650,0.198425,0.496850,-1.600000,0,1,5.050,22,0.500000,0.499408
22,2025-09-15T12:17:33.021,0.198350,0.496700,-1.500000,0,1,5.339,23,0.500000,0.499394
23,2025-09-15T12:17:37.940,0.198275,0.496550,-1.600000,0,1,4.887,24,0.500000,0.499380
24,2025-09-15T12:17:43.479,0.198200,0.496400,-1.000000,0,1,5.507,25,0.500000,0.499369
25,2025-09-15T12:17:48.818,0.198125,0.496250,-1.600000,0,1,5.307,26,0.500000,0.499355
26,2025-09-15T12:17:53.963,0.198050,0.496100,-1.600000,0,1,5.114,27,0.500000,0.499340
27,2025-09-15T12:17:58.402,0.197975,0.495950,-1.600000,0,1,4.406,28,0.500000,0.499325
28,2025-09-15T12:18:03.353,0.197900,0.495800,-1.600000,0,1,4.919,29,0.500000,0.499311
29,2025-09-15T12:18:07.564,0.197825,0.495650,-1.600000,0,1,4.191,30,0.500000,0.499296
30,2025-09-15T12:18:12.132,0.197750,0.495500,-1.600000,0,1,4.537,31,0.500000,0.499281
31,2025-09-15T12:18:17.483,0.197675,0.495350,-1.600000,0,1,5.319,32,0.500000,0.499267
32,2025-09-15T12:18:21.538,0.197600,0.495200,-6.000000,0,1,4.024,33,0.500000,0.499222
33,2025-09-15T12:18:26.248,0.197525,0.495050,-1.600000,0,1,4.678,34,0.500000,0.499207
34,2025-09-15T12:18:31.120,0.197450,0.494900,-1.600000,0,1,4.840,35,0.500000,0.499192
35,2025-09-15T12:18:36.244,0.197375,0.494750,-1.600000,0,1,5.109,36,0.500000,0.499178
36,2025-09-15T12:18:41.383,0.197300,0.494600,-6.000000,0,1,5.114,37,0.500000,0.499133
37,2025-09-15T12:18:46.400,0.197225,0.494450,-1.600000,0,1,5.003,38,0.500000,0.499118
38,2025-09-15T12:18:50.707,0.197150,0.494300,-6.000000,0,1,4.290,39,0.500000,0.499073
39,2025-09-15T12:18:55.467,0.197075,0.494150,-1.600000,0,1,4.745,40,0.500000,0.499058
40,2025-09-15T12:19:00.343,0.197000,0.494000,-1.600000,0,1,4.859,41,0.500000,0.499044
41,2025-09-15T12:19:05.987,0.196925,0.493850,-1.600000,0,1,5.611,42,0.500000,0.499029
42,2025-09-15T12:19:11.699,0.196850,0.493700,-1.600000,0,1,5.683,43,0.500000,0.499015
43,2025-09-15T12:19:16.989,0.196775,0.493550,-1.600000,0,1,5.259,44,0.500000,0.499000
44,2025-09-15T12:19:21.750,0.196700,0.493400,-1.600000,0,1,4.729,45,0.500000,0.498985
45,2025-09-15T12:19:26.445,0.196625,0.493250,-1.600000,0,1,4.663,46,0.500000,0.498971
46,2025-09-15T12:19:30.913,0.196550,0.493100,-1.600000,0,1,4.436,47,0.500000,0.498956
47,2025-09-15T12:19:36.167,0.196475,0.492950,-1.600000,0,1,5.223,48,0.500000,0.498942
48,2025-09-15T12:19:40.932,0.196400,0.492800,-1.600000,0,1,4.733,49,0.500000,0.498927
49,2025-09-15T12:19:46.013,0.196325,0.492650,-1.600000,0,1,5.049,50,0.500000,0.498913
50,2025-09-15T12:19:51.223,0.196250,0.492500,-6.000000,0,1,5.194,51,0.500000,0.498868
51,2025-09-15T12:19:56.485,0.196175,0.492350,-6.000000,0,1,5.230,52,0.500000,0.498823
52,2025-09-15T12:19:58.656,0.196100,0.492200,-5.600000,0,2,2.140,54,0.967590,0.498780
53,2025-09-15T12:20:00.456,0.196025,0.492050,-0.600000,0,2,1.784,55,1.204960,0.498769
54,2025-09-15T12:20:02.256,0.195950,0.491900,-0.600000,0,2,1.785,56,1.286640,0.498756
55,2025-09-15T12:20:04.053,0.195875,0.491750,-1.200000,0,2,1.781,57,1.327480,0.498738
56,2025-09-15T12:20:05.853,0.195800,0.491600,-0.600000,0,2,1.783,58,1.351984,0.498723
57,2025-09-15T12:20:07.652,0.195725,0.491450,-1.200000,0,2,1.783,59,1.368320,0.498705
58,2025-09-15T12:20:09.506,0.195650,0.491300,-1.200000,0,2,1.837,60,1.379989,0.498686
59,2025-09-15T12:20:11.359,0.195575,0.491150,-1.200000,0,2,1.837,61,1.388740,0.498668
60,2025-09-15T12:20:13.338,0.195500,0.491000,-1.200000,0,2,1.965,62,1.395547,0.498649
61,2025-09-15T12:20:15.133,0.195425,0.490850,-1.200000,0,2,1.778,63,1.400992,0.498631
62,2025-09-15T12:20:16.926,0.195350,0.490700,-1.200000,0,2,1.778,64,1.405447,0.498612
63,2025-09-15T12:20:18.724,0.195275,0.490550,-1.200000,0,2,1.782,65,1.409160,0.498594
64,2025-09-15T12:20:20.528,0.195200,0.490400,-5.600000,0,2,1.787,66,1.412302,0.498545
65,2025-09-15T12:20:23.687,0.195125,0.490250,-1.600000,0,1,3.142,67,1.412302,0.498530
66,2025-09-15T12:20:25.491,0.195050,0.490100,-1.200000,0,2,1.786,68,1.414994,0.498512
67,2025-09-15T12:20:27.320,0.194975,0.489950,-1.200000,0,2,1.814,69,1.417328,0.498493
68,2025-09-15T12:20:30.025,0.194900,0.489800,-1.200000,0,2,2.681,70,1.419370,0.498475
69,2025-09-15T12:20:33.532,0.194825,0.489650,-5.600000,0,2,3.475,71,1.421172,0.498426
70,2025-09-15T12:20:35.603,0.194750,0.489500,-1.200000,0,2,2.037,72,1.422773,0.498407
71,2025-09-15T12:20:39.345,0.194675,0.489350,-1.600000,0,1,3.711,73,1.422773,0.498393
72,2025-09-15T12:20:42.088,0.194600,0.489200,-1.200000,0,2,2.721,74,1.424206,0.498374
73,2025-09-15T12:20:44.399,0.194525,0.489050,-1.200000,0,2,2.279,75,1.425496,0.498356
74,2025-09-15T12:20:47.921,0.194450,0.488900,-1.200000,0,2,3.503,76,1.426663,0.498337
75,2025-09-15T12:20:51.685,0.194375,0.488750,-1.600000,0,1,3.735,76,1.426663,0.498330
76,2025-09-15T12:20:54.534,0.194300,0.488600,-1.200000,0,2,2.817,77,1.427724,0.498312
77,2025-09-15T12:20:56.900,0.194225,0.488450,-1.200000,0,2,2.349,78,1.428692,0.498293
78,2025-09-15T12:20:59.334,0.194150,0.488300,-1.200000,0,2,2.417,79,1.429580,0.498275
79,2025-09-15T12:21:01.801,0.194075,0.488150,-1.200000,0,2,2.450,80,1.430397,0.498256
80,2025-09-15T12:21:05.068,0.194000,0.488000,-1.200000,0,2,3.251,81,1.431151,0.498237
81,2025-09-15T12:21:07.484,0.193925,0.487850,-1.200000,0,2,2.383,81,1.431849,0.498228
82,2025-09-15T12:21:10.201,0.193850,0.487700,-1.200000,0,2,2.700,82,1.432497,0.498210
