episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-08-24T19:29:32.816,0.600000,0.300000,0.000000,0,1,3.163,1,12.847700,0.480760
1,2025-08-24T19:29:35.888,0.599890,0.299975,0.000000,0,1,3.013,2,12.847700,0.480756
2,2025-08-24T19:29:39.002,0.599780,0.299950,0.000000,0,1,3.074,3,12.847700,0.480754
3,2025-08-24T19:29:42.389,0.599670,0.299925,0.000000,0,3,3.350,6,12.847700,0.480766
4,2025-08-24T19:29:44.768,0.599560,0.299900,0.000000,0,2,2.351,7,12.847700,0.480773
5,2025-08-24T19:29:47.972,0.599450,0.299875,0.000000,0,1,3.162,8,12.847700,0.480771
6,2025-08-24T19:29:50.927,0.599340,0.299850,0.000000,0,1,2.919,9,12.847700,0.480769
0,2025-08-24T20:38:36.555,0.600000,0.300000,0.000000,0,1,2.970,1,0.500000,0.499991
0,2025-08-24T20:39:29.235,0.600000,0.300000,0.000000,0,1,3.113,1,0.500000,0.499991
1,2025-08-24T20:39:32.208,0.599890,0.299975,0.000000,0,1,2.935,2,0.500000,0.499982
2,2025-08-24T20:39:35.446,0.599780,0.299950,0.000000,0,1,3.205,3,0.500000,0.499974
3,2025-08-24T20:39:38.425,0.599670,0.299925,0.000000,0,1,2.924,4,0.500000,0.499965
4,2025-08-24T20:39:41.623,0.599560,0.299900,0.000000,0,1,3.155,5,0.500000,0.499957
5,2025-08-24T20:39:44.875,0.599450,0.299875,0.000000,0,1,3.215,6,0.500000,0.499948
6,2025-08-24T20:39:47.873,0.599340,0.299850,0.000000,0,1,2.950,7,0.500000,0.499939
7,2025-08-24T20:39:51.075,0.599230,0.299825,0.000000,0,1,3.161,8,0.500000,0.499930
8,2025-08-24T20:39:54.189,0.599120,0.299800,0.000000,0,1,3.074,9,0.500000,0.499922
9,2025-08-24T20:39:57.528,0.599010,0.299775,0.000000,0,1,3.299,10,0.500000,0.499913
10,2025-08-24T20:40:00.897,0.598900,0.299750,0.000000,0,1,3.334,11,0.500000,0.499904
11,2025-08-24T20:40:03.211,0.598790,0.299725,0.000000,0,2,2.284,13,0.792232,0.499897
12,2025-08-24T20:40:06.422,0.598680,0.299700,0.000000,0,1,3.183,14,0.792232,0.499888
13,2025-08-24T20:40:08.846,0.598570,0.299675,0.000000,0,2,2.385,15,0.996840,0.499879
14,2025-08-24T20:40:11.963,0.598460,0.299650,0.000000,0,1,3.094,16,0.996840,0.499871
15,2025-08-24T20:40:14.211,0.598350,0.299625,0.000000,0,2,2.226,17,1.140109,0.499862
16,2025-08-24T20:40:16.570,0.598240,0.299600,0.000000,0,2,2.323,18,1.223832,0.499852
17,2025-08-24T20:40:19.947,0.598130,0.299575,0.000000,0,1,3.337,19,1.223832,0.499843
18,2025-08-24T20:40:22.359,0.598020,0.299550,0.000000,0,2,2.382,20,1.274065,0.499832
19,2025-08-24T20:40:25.474,0.597910,0.299525,0.000000,0,1,3.069,21,1.274065,0.499823
20,2025-08-24T20:40:28.624,0.597800,0.299500,0.000000,0,1,3.103,22,1.274065,0.499815
21,2025-08-24T20:40:31.859,0.597690,0.299475,0.000000,0,1,3.197,23,1.274065,0.499806
22,2025-08-24T20:40:34.188,0.597580,0.299450,0.000000,0,2,2.304,24,1.307554,0.499795
23,2025-08-24T20:40:36.493,0.597470,0.299425,0.000000,0,2,2.274,25,1.331475,0.499784
24,2025-08-24T20:40:39.715,0.597360,0.299400,0.000000,0,1,3.182,26,1.331475,0.499775
25,2025-08-24T20:40:42.982,0.597250,0.299375,0.000000,0,1,3.203,27,1.331475,0.499767
26,2025-08-24T20:40:45.362,0.597140,0.299350,0.000000,0,2,2.349,28,1.349416,0.499756
27,2025-08-24T20:40:47.706,0.597030,0.299325,0.000000,0,2,2.311,29,1.363370,0.499744
28,2025-08-24T20:40:50.837,0.596920,0.299300,0.000000,0,1,3.093,30,1.363370,0.499736
29,2025-08-24T20:40:54.087,0.596810,0.299275,0.000000,0,1,3.218,31,1.363370,0.499727
30,2025-08-24T20:40:56.382,0.596700,0.299250,0.000000,0,2,2.258,32,1.374533,0.499715
31,2025-08-24T20:40:59.613,0.596590,0.299225,0.000000,0,1,3.194,33,1.374533,0.499707
32,2025-08-24T20:41:01.874,0.596480,0.299200,0.000000,0,2,2.225,34,1.383666,0.499695
33,2025-08-24T20:41:05.000,0.596370,0.299175,0.000000,0,1,3.092,35,1.383666,0.499687
34,2025-08-24T20:41:08.252,0.596260,0.299150,0.000000,0,1,3.220,36,1.383666,0.499678
35,2025-08-24T20:41:10.780,0.596150,0.299125,0.000000,0,2,2.498,37,1.391277,0.499667
36,2025-08-24T20:41:13.952,0.596040,0.299100,0.000000,0,1,3.144,38,1.391277,0.499658
37,2025-08-24T20:41:16.232,0.595930,0.299075,0.000000,0,2,2.253,39,1.397717,0.499647
38,2025-08-24T20:41:19.425,0.595820,0.299050,0.000000,0,1,3.150,40,1.397717,0.499638
39,2025-08-24T20:41:21.538,0.595710,0.299025,0.000000,0,2,2.070,41,1.403238,0.499627
40,2025-08-24T20:41:24.672,0.595600,0.299000,0.000000,0,1,3.083,42,1.403238,0.499618
41,2025-08-24T20:41:27.861,0.595490,0.298975,0.000000,0,1,3.154,43,1.403238,0.499610
42,2025-08-24T20:41:30.174,0.595380,0.298950,0.000000,0,2,2.274,44,1.408022,0.499598
43,2025-08-24T20:41:33.293,0.595270,0.298925,0.000000,0,1,3.071,45,1.408022,0.499590
44,2025-08-24T20:41:36.464,0.595160,0.298900,0.000000,0,1,3.140,46,1.408022,0.499584
45,2025-08-24T20:41:39.784,0.595050,0.298875,0.000000,0,1,3.277,47,1.408022,0.499575
46,2025-08-24T20:41:42.920,0.594940,0.298850,0.000000,0,1,3.091,48,1.408022,0.499566
47,2025-08-24T20:41:46.098,0.594830,0.298825,0.000000,0,1,3.132,49,1.408022,0.499558
48,2025-08-24T20:41:49.299,0.594720,0.298800,0.000000,0,1,3.179,50,1.408022,0.499549
49,2025-08-24T20:41:51.711,0.594610,0.298775,0.000000,0,2,2.377,51,1.412208,0.499537
50,2025-08-24T20:41:54.938,0.594500,0.298750,0.000000,0,1,3.193,52,1.412208,0.499529
51,2025-08-24T20:41:58.069,0.594390,0.298725,0.000000,0,1,3.099,53,1.412208,0.499520
52,2025-08-24T20:42:00.306,0.594280,0.298700,0.000000,0,2,2.189,54,1.415902,0.499509
53,2025-08-24T20:42:02.655,0.594170,0.298675,0.000000,0,2,2.304,55,1.419185,0.499498
54,2025-08-24T20:42:05.702,0.594060,0.298650,0.000000,0,1,2.993,56,1.419185,0.499489
55,2025-08-24T20:42:08.907,0.593950,0.298625,0.000000,0,1,3.171,57,1.419185,0.499480
56,2025-08-24T20:42:12.146,0.593840,0.298600,0.000000,0,1,3.174,57,1.419185,0.499474
57,2025-08-24T20:42:14.396,0.593730,0.298575,0.000000,0,2,2.216,58,1.422122,0.499463
58,2025-08-24T20:42:17.397,0.593620,0.298550,0.000000,0,1,2.956,59,1.422122,0.499454
59,2025-08-24T20:42:19.706,0.593510,0.298525,0.000000,0,2,2.270,60,1.424766,0.499443
60,2025-08-24T20:42:22.849,0.593400,0.298500,0.000000,0,1,3.102,60,1.424766,0.499437
61,2025-08-24T20:42:25.025,0.593290,0.298475,0.000000,0,2,2.135,61,1.427158,0.499426
62,2025-08-24T20:42:27.144,0.593180,0.298450,0.000000,0,2,2.073,62,1.429333,0.499415
63,2025-08-24T20:42:30.371,0.593070,0.298425,0.000000,0,1,3.197,62,1.429333,0.499408
64,2025-08-24T20:42:32.768,0.592960,0.298400,0.000000,0,2,2.347,63,1.431319,0.499397
65,2025-08-24T20:42:35.968,0.592850,0.298375,0.000000,0,1,3.156,64,1.431319,0.499388
66,2025-08-24T20:42:39.058,0.592740,0.298350,0.000000,0,1,3.048,65,1.431319,0.499380
67,2025-08-24T20:42:42.320,0.592630,0.298325,0.000000,0,1,3.233,66,1.431319,0.499371
68,2025-08-24T20:42:44.755,0.592520,0.298300,0.000000,0,2,2.395,67,1.433139,0.499360
69,2025-08-24T20:42:47.113,0.592410,0.298275,0.000000,0,2,2.313,68,1.434813,0.499349
70,2025-08-24T20:42:50.320,0.592300,0.298250,0.000000,0,1,3.172,69,1.434813,0.499340
71,2025-08-24T20:42:53.516,0.592190,0.298225,0.000000,0,1,3.152,70,1.434813,0.499331
72,2025-08-24T20:42:56.507,0.592080,0.298200,0.000000,0,1,2.951,71,1.434813,0.499323
73,2025-08-24T20:42:58.846,0.591970,0.298175,0.000000,0,2,2.302,72,1.436359,0.499311
74,2025-08-24T20:43:01.864,0.591860,0.298150,0.000000,0,1,2.983,73,1.436359,0.499302
75,2025-08-24T20:43:03.961,0.591750,0.298125,0.000000,0,2,2.057,74,1.437790,0.499291
76,2025-08-24T20:43:07.214,0.591640,0.298100,0.000000,0,1,3.228,74,1.437790,0.499285
77,2025-08-24T20:43:09.535,0.591530,0.298075,0.000000,0,2,2.289,75,1.439119,0.499274
78,2025-08-24T20:43:11.667,0.591420,0.298050,0.000000,0,2,2.098,76,1.440356,0.499262
79,2025-08-24T20:43:14.802,0.591310,0.298025,0.000000,0,1,3.102,76,1.440356,0.499256
80,2025-08-24T20:43:17.185,0.591200,0.298000,0.000000,0,2,2.335,77,1.441511,0.499245
81,2025-08-24T20:43:19.567,0.591090,0.297975,0.000000,0,2,2.332,78,1.442591,0.499234
82,2025-08-24T20:43:22.705,0.590980,0.297950,0.000000,0,1,3.105,79,1.442591,0.499225
83,2025-08-24T20:43:26.080,0.590870,0.297925,0.000000,0,1,3.324,79,1.442591,0.499219
84,2025-08-24T20:43:28.470,0.590760,0.297900,0.000000,0,2,2.355,79,1.443604,0.499211
85,2025-08-24T20:43:30.794,0.590650,0.297875,0.000000,0,2,2.271,80,1.444555,0.499200
86,2025-08-24T20:43:33.106,0.590540,0.297850,0.000000,0,2,2.277,81,1.445451,0.499189
87,2025-08-24T20:43:35.222,0.590430,0.297825,0.000000,0,2,2.084,82,1.446295,0.499177
