episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-08-25T09:44:55.046,0.600000,0.300000,0.000000,0,1,3.099,1,0.500000,0.499992
0,2025-08-25T09:45:45.872,0.600000,0.300000,0.000000,0,1,2.998,1,0.500000,0.499991
0,2025-08-25T09:47:27.588,0.600000,0.300000,0.000000,0,1,3.239,1,0.500000,0.499991
0,2025-08-25T09:48:37.940,0.600000,0.300000,0.000000,0,1,3.186,1,0.500000,0.499992
0,2025-08-25T09:49:13.205,0.600000,0.300000,0.000000,0,1,2.987,1,0.500000,0.499992
1,2025-08-25T09:49:16.384,0.599890,0.299975,0.000000,0,1,3.152,2,0.500000,0.499985
2,2025-08-25T09:49:19.510,0.599780,0.299950,0.000000,0,1,3.099,3,0.500000,0.499977
3,2025-08-25T09:49:22.765,0.599670,0.299925,0.000000,0,1,3.224,4,0.500000,0.499968
4,2025-08-25T09:49:25.772,0.599560,0.299900,0.000000,0,1,2.956,5,0.500000,0.499959
5,2025-08-25T09:49:29.004,0.599450,0.299875,0.000000,0,1,3.194,6,0.500000,0.499950
6,2025-08-25T09:49:32.185,0.599340,0.299850,0.000000,0,1,3.130,7,0.500000,0.499941
7,2025-08-25T09:49:35.229,0.599230,0.299825,0.000000,0,1,3.021,8,0.500000,0.499933
8,2025-08-25T09:49:38.250,0.599120,0.299800,0.000000,0,1,2.999,9,0.500000,0.499925
9,2025-08-25T09:49:41.513,0.599010,0.299775,0.000000,0,1,3.232,10,0.500000,0.499916
10,2025-08-25T09:49:44.678,0.598900,0.299750,0.000000,0,1,3.126,11,0.500000,0.499907
11,2025-08-25T09:49:47.772,0.598790,0.299725,0.000000,0,1,3.051,12,0.500000,0.499898
12,2025-08-25T09:49:51.138,0.598680,0.299700,0.000000,0,1,3.334,13,0.500000,0.499890
13,2025-08-25T09:49:54.492,0.598570,0.299675,0.000000,0,1,3.322,14,0.500000,0.499881
14,2025-08-25T09:49:57.750,0.598460,0.299650,0.000000,0,1,3.220,15,0.500000,0.499872
15,2025-08-25T09:50:00.868,0.598350,0.299625,0.000000,0,1,3.095,16,0.500000,0.499863
16,2025-08-25T09:50:03.975,0.598240,0.299600,0.000000,0,1,3.075,17,0.500000,0.499854
17,2025-08-25T09:50:07.095,0.598130,0.299575,0.000000,0,1,3.071,18,0.500000,0.499845
18,2025-08-25T09:50:10.270,0.598020,0.299550,0.000000,0,1,3.145,18,0.500000,0.499839
19,2025-08-25T09:50:13.452,0.597910,0.299525,0.000000,0,1,3.158,19,0.500000,0.499830
