episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
0,2026-05-12T21:01:30.334,0.600000,0.001000,-2.000000,0,1,3.117,1.735296,0.030019
1,2026-05-12T21:01:33.415,0.599725,0.001000,-1.000000,0,1,3.047,1.735296,0.030019
2,2026-05-12T21:01:36.311,0.599450,0.001000,-1.600000,0,1,2.861,1.735296,0.030019
3,2026-05-12T21:01:39.450,0.599175,0.001000,-2.000000,0,1,3.107,1.735296,0.030019
4,2026-05-12T21:01:42.721,0.598900,0.001000,-1.600000,0,1,3.236,1.735296,0.030019
5,2026-05-12T21:01:45.840,0.598625,0.001000,-1.600000,0,1,3.082,1.735296,0.030019
6,2026-05-12T21:01:48.873,0.598350,0.001000,-1.600000,0,1,2.994,1.735296,0.030019
7,2026-05-12T21:01:51.995,0.598075,0.001000,-1.600000,0,1,3.079,1.735296,0.030019
8,2026-05-12T21:01:54.871,0.597800,0.001000,-1.600000,0,1,2.837,1.735296,0.030019
9,2026-05-12T21:01:57.969,0.597525,0.001000,-1.600000,0,1,3.068,1.735296,0.030019
10,2026-05-12T21:02:01.082,0.597250,0.001000,-1.600000,0,1,3.073,1.735296,0.030019
11,2026-05-12T21:02:04.187,0.596975,0.001000,-1.600000,0,1,3.065,1.735296,0.030019
12,2026-05-12T21:02:07.339,0.596700,0.001000,-1.600000,0,1,3.105,1.735296,0.030019
13,2026-05-12T21:02:10.237,0.596425,0.001000,-2.000000,0,1,2.859,1.735296,0.030019
14,2026-05-12T21:02:13.219,0.596150,0.001000,-1.600000,0,1,2.946,1.735296,0.030019
15,2026-05-12T21:02:16.382,0.595875,0.001000,-1.600000,0,1,3.111,1.735296,0.030019
16,2026-05-12T21:02:19.502,0.595600,0.001000,-1.600000,0,1,3.082,1.735296,0.030019
17,2026-05-12T21:02:22.633,0.595325,0.001000,-1.600000,0,1,3.088,1.735296,0.030019
18,2026-05-12T21:02:25.753,0.595050,0.001000,-1.600000,0,1,3.065,1.735296,0.030019
19,2026-05-12T21:02:28.712,0.594775,0.000999,-1.600000,0,1,2.893,1.735296,0.030019
20,2026-05-12T21:02:31.902,0.594500,0.000999,-1.600000,0,1,3.137,1.735296,0.030019
21,2026-05-12T21:02:35.005,0.594225,0.000999,-1.600000,0,1,3.062,1.735296,0.030019
22,2026-05-12T21:02:37.922,0.593950,0.000999,-1.600000,0,1,2.875,1.735296,0.030019
23,2026-05-12T21:02:41.173,0.593675,0.000999,-1.600000,0,1,3.204,1.735296,0.030019
24,2026-05-12T21:02:44.088,0.593400,0.000999,-2.000000,0,1,2.872,1.735296,0.030019
25,2026-05-12T21:02:47.208,0.593125,0.000999,-1.600000,0,1,3.083,1.735296,0.030019
26,2026-05-12T21:02:50.334,0.592850,0.000999,-1.600000,0,1,3.081,1.735296,0.030019
27,2026-05-12T21:02:53.241,0.592575,0.000999,-2.000000,0,1,2.863,1.735296,0.030019
28,2026-05-12T21:02:56.142,0.592300,0.000999,-1.600000,0,1,2.861,1.735296,0.030019
29,2026-05-12T21:02:59.380,0.592025,0.000999,-1.600000,0,1,3.198,1.735296,0.030019
30,2026-05-12T21:03:02.508,0.591750,0.000999,-1.600000,0,1,3.088,1.735296,0.030019
31,2026-05-12T21:03:05.653,0.591475,0.000999,-1.000000,0,1,3.103,1.735296,0.030019
32,2026-05-12T21:03:08.887,0.591200,0.000999,-1.000000,0,1,3.179,1.735296,0.030019
