episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-09-07T21:14:03.963,0.600000,0.200000,-2.000000,0,1,3.219,1,0.500000,0.499999
1,2025-09-07T21:14:06.995,0.599963,0.199993,-1.500000,0,1,2.957,2,0.500000,0.499997
2,2025-09-07T21:14:10.140,0.599927,0.199985,-1.600000,0,1,3.065,3,0.500000,0.499996
3,2025-09-07T21:14:13.385,0.599890,0.199978,-1.600000,0,1,3.184,4,0.500000,0.499995
4,2025-09-07T21:14:16.635,0.599853,0.199970,-1.600000,0,1,3.193,5,0.500000,0.499994
5,2025-09-07T21:14:19.992,0.599817,0.199963,-1.500000,0,1,3.293,6,0.500000,0.499993
6,2025-09-07T21:14:23.174,0.599780,0.199955,-1.600000,0,1,3.117,7,0.500000,0.499992
7,2025-09-07T21:14:26.334,0.599743,0.199948,-1.600000,0,1,3.094,8,0.500000,0.499991
8,2025-09-07T21:14:29.550,0.599707,0.199940,-2.000000,0,1,3.155,9,0.500000,0.499989
9,2025-09-07T21:14:32.806,0.599670,0.199933,-1.600000,0,1,3.179,10,0.500000,0.499988
10,2025-09-07T21:14:35.983,0.599633,0.199925,-1.600000,0,1,3.111,11,0.500000,0.499987
11,2025-09-07T21:14:39.224,0.599597,0.199917,-1.600000,0,1,3.158,12,0.500000,0.499986
12,2025-09-07T21:14:42.470,0.599560,0.199910,-1.600000,0,1,3.179,13,0.500000,0.499984
13,2025-09-07T21:14:45.798,0.599523,0.199903,-2.000000,0,1,3.266,14,0.500000,0.499983
14,2025-09-07T21:14:48.910,0.599487,0.199895,-2.000000,0,1,3.048,15,0.500000,0.499982
15,2025-09-07T21:14:52.271,0.599450,0.199888,-1.600000,0,1,3.284,16,0.500000,0.499981
16,2025-09-07T21:14:55.748,0.599413,0.199880,-2.000000,0,1,3.414,17,0.500000,0.499979
17,2025-09-07T21:14:58.864,0.599377,0.199873,-1.600000,0,1,3.054,18,0.500000,0.499978
