episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-09-25T19:14:21.462,0.600000,0.300000,-1.600000,0,1,3.669,1,0.500000,0.499991
1,2025-09-25T19:14:24.646,0.599890,0.299975,-1.600000,0,1,3.125,2,0.500000,0.499982
2,2025-09-25T19:14:27.843,0.599780,0.299950,-1.600000,0,1,3.140,3,0.500000,0.499973
3,2025-09-25T19:14:30.991,0.599670,0.299925,-1.600000,0,1,3.113,4,0.500000,0.499965
4,2025-09-25T19:14:33.901,0.599560,0.299900,-1.600000,0,1,2.867,5,0.500000,0.499956
5,2025-09-25T19:14:37.202,0.599450,0.299875,-1.600000,0,1,3.268,6,0.500000,0.499947
6,2025-09-25T19:14:40.568,0.599340,0.299850,-1.600000,0,1,3.334,7,0.500000,0.499938
7,2025-09-25T19:14:43.720,0.599230,0.299825,-1.600000,0,1,3.123,8,0.500000,0.499929
8,2025-09-25T19:14:46.866,0.599120,0.299800,-1.600000,0,1,3.118,9,0.500000,0.499920
9,2025-09-25T19:14:49.989,0.599010,0.299775,-1.600000,0,1,3.091,10,0.500000,0.499912
10,2025-09-25T19:14:53.056,0.598900,0.299750,-1.600000,0,1,3.031,11,0.500000,0.499903
11,2025-09-25T19:14:56.024,0.598790,0.299725,-1.600000,0,1,2.934,12,0.500000,0.499894
12,2025-09-25T19:14:59.402,0.598680,0.299700,-1.600000,0,1,3.344,13,0.500000,0.499885
13,2025-09-25T19:15:02.549,0.598570,0.299675,-1.600000,0,1,3.119,14,0.500000,0.499876
14,2025-09-25T19:15:05.707,0.598460,0.299650,-1.000000,0,1,3.128,15,0.500000,0.499870
15,2025-09-25T19:15:08.874,0.598350,0.299625,-1.600000,0,1,3.119,16,0.500000,0.499861
16,2025-09-25T19:15:12.000,0.598240,0.299600,-1.600000,0,1,3.094,17,0.500000,0.499852
17,2025-09-25T19:15:15.149,0.598130,0.299575,-1.600000,0,1,3.111,18,0.500000,0.499843
18,2025-09-25T19:15:18.389,0.598020,0.299550,-1.600000,0,1,3.198,19,0.500000,0.499834
19,2025-09-25T19:15:21.615,0.597910,0.299525,-1.600000,0,1,3.187,20,0.500000,0.499826
20,2025-09-25T19:15:24.586,0.597800,0.299500,-1.600000,0,1,2.944,21,0.500000,0.499817
21,2025-09-25T19:15:27.746,0.597690,0.299475,-1.600000,0,1,3.132,22,0.500000,0.499808
22,2025-09-25T19:15:30.891,0.597580,0.299450,-1.600000,0,1,3.111,23,0.500000,0.499799
23,2025-09-25T19:15:34.068,0.597470,0.299425,-1.600000,0,1,3.146,24,0.500000,0.499790
24,2025-09-25T19:15:37.314,0.597360,0.299400,-1.600000,0,1,3.211,25,0.500000,0.499781
25,2025-09-25T19:15:40.518,0.597250,0.299375,-2.000000,0,1,3.175,26,0.500000,0.499771
26,2025-09-25T19:15:43.630,0.597140,0.299350,-1.600000,0,1,3.084,27,0.500000,0.499762
27,2025-09-25T19:15:46.861,0.597030,0.299325,-2.000000,0,1,3.201,28,0.500000,0.499752
28,2025-09-25T19:15:49.989,0.596920,0.299300,-1.600000,0,1,3.099,29,0.500000,0.499743
29,2025-09-25T19:15:53.109,0.596810,0.299275,-1.600000,0,1,3.091,30,0.500000,0.499734
30,2025-09-25T19:15:56.110,0.596700,0.299250,-2.000000,0,1,2.975,31,0.500000,0.499723
31,2025-09-25T19:15:59.223,0.596590,0.299225,-1.600000,0,1,3.085,32,0.500000,0.499715
32,2025-09-25T19:16:02.505,0.596480,0.299200,-2.000000,0,1,3.250,33,0.500000,0.499704
33,2025-09-25T19:16:05.748,0.596370,0.299175,-1.600000,0,1,3.215,33,0.500000,0.499698
34,2025-09-25T19:16:08.924,0.596260,0.299150,-1.600000,0,1,3.147,34,0.500000,0.499689
35,2025-09-25T19:16:12.159,0.596150,0.299125,-2.000000,0,1,3.208,35,0.500000,0.499679
