episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,unique_sa_visited,q_max,q_mean
0,2025-09-04T11:45:55.328,0.600000,0.300000,0.000000,0,1,3.164,1,0.500000,0.499992
0,2025-09-04T11:46:06.762,0.600000,0.300000,0.000000,0,1,3.039,1,0.500000,0.499991
0,2025-09-04T11:47:43.102,0.600000,0.300000,0.000000,0,1,3.232,1,0.500000,0.499991
1,2025-09-04T11:47:46.396,0.599890,0.299975,0.000000,0,1,3.275,2,0.500000,0.499982
2,2025-09-04T11:47:49.576,0.599780,0.299950,0.000000,0,1,3.166,3,0.500000,0.499973
0,2025-09-04T11:55:28.476,0.600000,0.300000,0.000000,0,1,3.949,1,0.500000,0.499991
1,2025-09-04T11:55:31.896,0.599890,0.299975,0.000000,0,1,3.403,2,0.500000,0.499983
2,2025-09-04T11:55:35.319,0.599780,0.299950,0.000000,0,1,3.407,3,0.500000,0.499974
3,2025-09-04T11:55:38.563,0.599670,0.299925,0.000000,0,1,3.226,4,0.500000,0.499965
4,2025-09-04T11:55:41.836,0.599560,0.299900,0.000000,0,1,3.258,5,0.500000,0.499957
5,2025-09-04T11:55:44.876,0.599450,0.299875,0.000000,0,1,3.023,6,0.500000,0.499948
6,2025-09-04T11:55:48.136,0.599340,0.299850,0.000000,0,1,3.244,7,0.500000,0.499939
7,2025-09-04T11:55:51.362,0.599230,0.299825,0.000000,0,1,3.210,8,0.500000,0.499930
8,2025-09-04T11:55:54.522,0.599120,0.299800,0.000000,0,1,3.143,9,0.500000,0.499921
9,2025-09-04T11:55:57.696,0.599010,0.299775,0.000000,0,1,3.159,10,0.500000,0.499913
10,2025-09-04T11:56:00.870,0.598900,0.299750,0.000000,0,1,3.157,11,0.500000,0.499904
11,2025-09-04T11:56:03.897,0.598790,0.299725,0.000000,0,1,3.011,12,0.500000,0.499895
12,2025-09-04T11:56:07.056,0.598680,0.299700,0.000000,0,1,3.144,13,0.500000,0.499886
13,2025-09-04T11:56:10.346,0.598570,0.299675,0.000000,0,1,3.273,14,0.500000,0.499878
14,2025-09-04T11:56:13.439,0.598460,0.299650,0.000000,0,1,3.076,15,0.500000,0.499869
15,2025-09-04T11:56:16.703,0.598350,0.299625,0.000000,0,1,3.248,15,0.500000,0.499863
16,2025-09-04T11:56:19.870,0.598240,0.299600,0.000000,0,1,3.151,16,0.500000,0.499854
17,2025-09-04T11:56:22.851,0.598130,0.299575,0.000000,0,1,2.966,17,0.500000,0.499846
18,2025-09-04T11:56:25.919,0.598020,0.299550,0.000000,0,1,3.051,18,0.500000,0.499837
19,2025-09-04T11:56:28.935,0.597910,0.299525,0.000000,0,1,2.999,19,0.500000,0.499828
20,2025-09-04T11:56:32.213,0.597800,0.299500,0.000000,0,1,3.262,20,0.500000,0.499819
21,2025-09-04T11:56:35.386,0.597690,0.299475,0.000000,0,1,3.158,21,0.500000,0.499810
22,2025-09-04T11:56:38.555,0.597580,0.299450,0.000000,0,1,3.152,22,0.500000,0.499801
23,2025-09-04T11:56:41.836,0.597470,0.299425,0.000000,0,1,3.265,23,0.500000,0.499793
24,2025-09-04T11:56:45.103,0.597360,0.299400,0.000000,0,1,3.251,24,0.500000,0.499784
25,2025-09-04T11:56:48.142,0.597250,0.299375,0.000000,0,1,3.023,25,0.500000,0.499775
26,2025-09-04T11:56:51.410,0.597140,0.299350,0.000000,0,1,3.250,26,0.500000,0.499766
27,2025-09-04T11:56:54.407,0.597030,0.299325,0.000000,0,1,2.982,27,0.500000,0.499758
28,2025-09-04T11:56:57.579,0.596920,0.299300,0.000000,0,1,3.156,28,0.500000,0.499749
29,2025-09-04T11:57:00.800,0.596810,0.299275,0.000000,0,1,3.208,29,0.500000,0.499740
30,2025-09-04T11:57:03.973,0.596700,0.299250,0.000000,0,1,3.156,30,0.500000,0.499731
31,2025-09-04T11:57:07.145,0.596590,0.299225,0.000000,0,1,3.156,31,0.500000,0.499722
32,2025-09-04T11:57:10.564,0.596480,0.299200,0.000000,0,1,3.401,32,0.500000,0.499714
33,2025-09-04T11:57:13.722,0.596370,0.299175,0.000000,0,1,3.142,33,0.500000,0.499705
34,2025-09-04T11:57:16.938,0.596260,0.299150,0.000000,0,1,3.200,34,0.500000,0.499696
35,2025-09-04T11:57:20.157,0.596150,0.299125,0.000000,0,1,3.203,35,0.500000,0.499690
36,2025-09-04T11:57:23.300,0.596040,0.299100,0.000000,0,1,3.126,36,0.500000,0.499681
37,2025-09-04T11:57:26.515,0.595930,0.299075,0.000000,0,1,3.200,37,0.500000,0.499672
38,2025-09-04T11:57:29.736,0.595820,0.299050,0.000000,0,1,3.203,38,0.500000,0.499663
39,2025-09-04T11:57:33.021,0.595710,0.299025,0.000000,0,1,3.269,39,0.500000,0.499655
40,2025-09-04T11:57:36.280,0.595600,0.299000,0.000000,0,1,3.243,40,0.500000,0.499646
41,2025-09-04T11:57:39.454,0.595490,0.298975,0.000000,0,1,3.157,41,0.500000,0.499637
42,2025-09-04T11:57:42.755,0.595380,0.298950,0.000000,0,1,3.284,42,0.500000,0.499629
43,2025-09-04T11:57:46.024,0.595270,0.298925,0.000000,0,1,3.253,42,0.500000,0.499622
44,2025-09-04T11:57:49.171,0.595160,0.298900,0.000000,0,1,3.131,43,0.500000,0.499614
4900,2025-09-04T12:17:52.984,0.061000,0.177500,0.000000,1,7,2.497,7,13.169533,0.478772
4901,2025-09-04T12:17:55.142,0.060890,0.177475,0.000000,0,2,2.138,8,13.169533,0.478778
4902,2025-09-04T12:17:57.608,0.060780,0.177450,0.000000,1,7,2.451,8,13.323960,0.478802
4903,2025-09-04T12:18:00.095,0.060670,0.177425,0.000000,1,7,2.474,8,13.517317,0.478826
4904,2025-09-04T12:18:02.578,0.060560,0.177400,0.000000,1,7,2.468,8,13.690701,0.478848
4905,2025-09-04T12:18:05.071,0.060450,0.177375,0.000000,1,7,2.476,8,13.846015,0.478868
4900,2025-09-04T12:34:13.246,0.061000,0.177500,0.000000,0,2,2.391,2,13.124000,0.478751
4901,2025-09-04T12:34:15.479,0.060890,0.177475,0.000000,0,2,2.214,3,13.124000,0.478755
4902,2025-09-04T12:34:17.840,0.060780,0.177450,0.000000,0,4,2.344,6,13.124000,0.478770
4903,2025-09-04T12:34:20.202,0.060670,0.177425,0.000000,0,2,2.345,7,13.124000,0.478773
4904,2025-09-04T12:34:22.360,0.060560,0.177400,0.000000,0,2,2.142,8,13.124000,0.478776
4905,2025-09-04T12:34:24.842,0.060450,0.177375,0.000000,1,7,2.465,12,13.169501,0.478798
4906,2025-09-04T12:34:27.333,0.060340,0.177350,0.000000,1,7,2.474,12,13.323687,0.478818
4907,2025-09-04T12:34:29.816,0.060230,0.177325,0.000000,1,7,2.467,12,13.516963,0.478837
4900,2025-09-04T12:34:50.853,0.061000,0.177500,0.000000,0,6,4.226,6,13.124000,0.478771
4900,2025-09-04T13:19:29.595,0.061000,0.177500,0.000000,1,7,2.491,7,13.169533,0.478772
